Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Barnet,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,Jul-03,Murder,Solved,Barnet,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,Sep-03,Murder,Solved,Ealing ,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing ,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing ,White
1,65 and over,Female,Not known/Not Recorded,Not Domestic Abuse,Feb-03,Murder,Unsolved,Ealing ,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Ealing ,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Ealing ,Asian
1,0 to 12,Female,Not known/Not Recorded,Not Domestic Abuse,Aug-03,Murder,Solved,Ealing ,Asian
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Islington,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Islington,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Islington,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Haringey,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Feb-03,Murder,Solved,Haringey,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,Feb-03,Murder,Solved,Haringey,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Haringey,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black
1,25 to 34,Female,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Haringey,White
1,35 to 44,Female,Other Methods of Killing,Not Domestic Abuse,May-03,Manslaughter,Solved,Haringey,White
1,65 and over,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Hackney,White
1,25 to 34,Male,Blunt Implement,Domestic Abuse,Jun-03,Murder,Solved,Haringey,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic Abuse,Jul-03,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Haringey,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Haringey,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic Abuse,Nov-03,Murder,Solved,Haringey,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Mar-03,Murder,Solved,Southwark,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Mar-03,Murder,Solved,Southwark,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Mar-03,Murder,Solved,Southwark,Black
1,65 and over,Male,Blunt Implement,Domestic Abuse,Apr-03,Murder,Solved,Southwark,White
1,55 to 64,Male,Shooting,Not Domestic Abuse,May-03,Murder,Solved,Southwark,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,May-03,Murder,Unsolved,Southwark,Black
1,45 to 54,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Southwark,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Southwark,Black
1,35 to 44,Male,"Physical Assault, no weapon",Not Domestic Abuse,Sep-03,Murder,Solved,Southwark,White
1,55 to 64,Male,Shooting,Not Domestic Abuse,Oct-03,Murder,Unsolved,Southwark,White
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,May-03,Murder,Solved,Lewisham,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Solved,Lewisham,Asian
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Lewisham,Black
1,65 and over,Female,Blunt Implement,Domestic Abuse,Sep-03,Murder,Solved,Lewisham,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Lewisham,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Bromley,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Greenwich,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Domestic Abuse,May-03,Murder,Solved,Greenwich,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,May-03,Murder,Solved,Greenwich,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Greenwich,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Jul-03,Murder,Solved,Greenwich,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Sep-03,Murder,Solved,Greenwich,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Greenwich,White
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Greenwich,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Dec-03,Manslaughter,Solved,Greenwich,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Greenwich,White
1,35 to 44,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Croydon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Croydon,White
1,20 to 24,Female,Other Methods of Killing,Not Domestic Abuse,May-03,Murder,Solved,Croydon,White
1,13 to19,Female,Other Methods of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Croydon,White
1,35 to 44,Female,Blunt Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Croydon,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Croydon,Asian
1,13 to19,Male,Other Methods of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Croydon,White
1,25 to 34,Female,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Bexley,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Sutton,White
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,Jan-03,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Unsolved,Tower Hamlets,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Apr-03,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,May-03,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Tower Hamlets,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Tower Hamlets,Asian
1,65 and over,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jul-03,Murder,Solved,Tower Hamlets,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Dec-03,Murder,Solved,Tower Hamlets,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Unsolved,Redbridge,Asian
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Redbridge,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Redbridge,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Aug-03,Murder,Solved,Redbridge,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,May-03,Murder,Solved,Hackney,Black
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Hackney,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Solved,Hackney,Black
1,65 and over,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Hackney,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Hackney,Black
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Hackney,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White
1,65 and over,Female,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-03,Murder,Solved,Hackney,White
1,0 to 12,Female,Other Methods of Killing,Not Domestic Abuse,Dec-03,Murder,Unsolved,Hackney,Black
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Hackney,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,Jun-03,Murder,Solved,Waltham Forest,White
1,13 to19,Male,Shooting,Not Domestic Abuse,Jul-03,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Oct-03,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Unsolved,Waltham Forest,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Barking & Dagenham,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Barking & Dagenham,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Barking & Dagenham,Black
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Barking & Dagenham,Asian
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,Dec-03,Manslaughter,Solved,Barking & Dagenham,Black
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Enfield,White
1,20 to 24,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Enfield,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Enfield,White
1,55 to 64,Male,Blunt Implement,Domestic Abuse,Nov-03,Murder,Solved,Enfield,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Enfield,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Jan-03,Murder,Unsolved,Newham,Asian
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Feb-03,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Newham,Asian
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jul-03,Murder,Solved,Newham,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Newham,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Newham,Asian
1,45 to 54,Male,Shooting,Not Domestic Abuse,Aug-03,Murder,Solved,Newham,Asian
1,35 to 44,Male,Shooting,Not Domestic Abuse,Aug-03,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Newham,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Newham,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,May-03,Murder,Solved,Havering,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Havering,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Nov-03,Murder,Solved,Havering,White
1,20 to 24,Male,"Physical Assault, no weapon",Not Domestic Abuse,Nov-03,Murder,Solved,Havering,White
1,65 and over,Female,Blunt Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Westminster,White
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Mar-03,Murder,Solved,Westminster,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Westminster,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,Jan-03,Murder,Solved,Hammersmith & Fulham,Asian
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Unsolved,Hammersmith & Fulham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Hammersmith & Fulham,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,Nov-03,Murder,Unsolved,Hammersmith & Fulham,Other
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Westminster,White
1,45 to 54,Female,Not known/Not Recorded,Domestic Abuse,Oct-03,Murder,Solved,Hammersmith & Fulham,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Unsolved,Westminster,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Jul-03,Manslaughter,Solved,Westminster,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,Feb-03,Manslaughter,Solved,Westminster,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Westminster,White
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,May-03,Murder,Unsolved,Kensington & Chelsea,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,Apr-04,Murder,Solved,Wandsworth,White
1,13 to19,Male,Blunt Implement,Not Domestic Abuse,Apr-04,Murder,Solved,Wandsworth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-04,Murder,Solved,Wandsworth,Black
1,35 to 44,Female,Not known/Not Recorded,Domestic Abuse,Jun-04,Murder,Solved,Kingston Upon Thames,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Jun-04,Murder,Unsolved,Kingston Upon Thames,Other
1,35 to 44,Female,Other Methods of Killing,Domestic Abuse,Apr-04,Murder,Solved,Hounslow,Asian
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-04,Murder,Solved,Hounslow,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-04,Murder,Solved,Hounslow,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Jan-04,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Feb-04,Murder,Solved,Richmond Upon Thames,Asian
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Aug-04,Murder,Solved,Richmond Upon Thames,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-04,Murder,Solved,Richmond Upon Thames,White
1,55 to 64,Female,Other Methods of Killing,Not Domestic Abuse,Mar-04,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic Abuse,Mar-04,Murder,Solved,Hillingdon,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Apr-04,Manslaughter,Unsolved,Hillingdon,Asian
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,Aug-04,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-04,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Jan-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-04,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,May-04,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Jun-04,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Jun-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,Oct-04,Murder,Solved,Lambeth,White
1,45 to 54,Male,Shooting,Not Domestic Abuse,Nov-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-04,Murder,Solved,Lambeth,Black
1,25 to 34,Female,Other Methods of Killing,Domestic Abuse,Jan-04,Murder,Solved,Merton,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Mar-04,Murder,Solved,Brent,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,May-04,Murder,Solved,Brent,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,May-04,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,May-04,Murder,Solved,Brent,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,Jun-04,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-04,Murder,Solved,Brent,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,Aug-04,Manslaughter,Unsolved,Brent,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,Aug-04,Murder,Unsolved,Brent,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,Aug-04,Murder,Solved,Brent,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Nov-04,Murder,Solved,Brent,Black
1,13 to19,Female,Knife or Sharp Implement,Domestic Abuse,Nov-04,Murder,Solved,Brent,Black
