Date;Survey;Borough;Measure;Proportion
30/06/2019;PAS;MPS;Contact ward officer;0,12
30/06/2019;PAS;MPS;Informed local;0,36
30/06/2019;PAS;MPS;Listen to concerns;0,68
30/06/2019;PAS;MPS;Relied on to be there;0,71
30/06/2019;PAS;MPS;Treat everyone fairly;0,76
30/06/2019;PAS;MPS;Understand issues;0,64
30/09/2019;PAS;MPS;"""Good Job"" local";0,58
30/09/2019;PAS;MPS;Contact ward officer;0,12
30/09/2019;PAS;MPS;Informed local;0,36
30/09/2019;PAS;MPS;Listen to concerns;0,69
30/09/2019;PAS;MPS;Relied on to be there;0,71
30/09/2019;PAS;MPS;Treat everyone fairly;0,77
30/09/2019;PAS;MPS;Understand issues;0,64
31/12/2019;PAS;MPS;"""Good Job"" local";0,58
31/12/2019;PAS;MPS;Contact ward officer;0,12
31/12/2019;PAS;MPS;Informed local;0,36
31/12/2019;PAS;MPS;Listen to concerns;0,68
31/12/2019;PAS;MPS;Relied on to be there;0,71
31/12/2019;PAS;MPS;Treat everyone fairly;0,78
31/12/2019;PAS;MPS;Understand issues;0,65
31/03/2020;PAS;MPS;"""Good Job"" local";0,58
31/03/2020;PAS;MPS;Contact ward officer;0,13
31/03/2020;PAS;MPS;Informed local;0,35
31/03/2020;PAS;MPS;Listen to concerns;0,68
31/03/2020;PAS;MPS;Relied on to be there;0,7
31/03/2020;PAS;MPS;Treat everyone fairly;0,77
31/03/2020;PAS;MPS;Understand issues;0,64
30/06/2020;PAS;MPS;"""Good Job"" local";0,58
30/06/2020;PAS;MPS;Contact ward officer;0,16
30/06/2020;PAS;MPS;Informed local;0,38
30/06/2020;PAS;MPS;Listen to concerns;0,69
30/06/2020;PAS;MPS;Relied on to be there;0,69
30/06/2020;PAS;MPS;Treat everyone fairly;0,76
30/06/2020;PAS;MPS;Understand issues;0,66
30/09/2020;PAS;MPS;"""Good Job"" local";0,57
30/09/2020;PAS;MPS;Contact ward officer;0,19
30/09/2020;PAS;MPS;Informed local;0,4
30/09/2020;PAS;MPS;Listen to concerns;0,69
30/09/2020;PAS;MPS;Relied on to be there;0,67
30/09/2020;PAS;MPS;Treat everyone fairly;0,74
30/09/2020;PAS;MPS;Understand issues;0,67
31/12/2020;PAS;MPS;"""Good Job"" local";0,56
31/12/2020;PAS;MPS;Contact ward officer;0,21
31/12/2020;PAS;MPS;Informed local;0,42
31/12/2020;PAS;MPS;Listen to concerns;0,69
31/12/2020;PAS;MPS;Relied on to be there;0,67
31/12/2020;PAS;MPS;Treat everyone fairly;0,72
31/12/2020;PAS;MPS;Understand issues;0,67
31/03/2021;PAS;MPS;"""Good Job"" local";0,55
31/03/2021;PAS;MPS;Contact ward officer;0,24
31/03/2021;PAS;MPS;Informed local;0,45
31/03/2021;PAS;MPS;Listen to concerns;0,68
31/03/2021;PAS;MPS;Relied on to be there;0,65
31/03/2021;PAS;MPS;Treat everyone fairly;0,7
31/03/2021;PAS;MPS;Understand issues;0,68
30/06/2021;PAS;MPS;"""Good Job"" local";0,54
30/06/2021;PAS;MPS;Contact ward officer;0,24
30/06/2021;PAS;MPS;Informed local;0,42
30/06/2021;PAS;MPS;Listen to concerns;0,66
30/06/2021;PAS;MPS;Relied on to be there;0,63
30/06/2021;PAS;MPS;Treat everyone fairly;0,68
30/06/2021;PAS;MPS;Understand issues;0,66
30/09/2021;PAS;MPS;"""Good Job"" local";0,52
30/09/2021;PAS;MPS;Contact ward officer;0,25
30/09/2021;PAS;MPS;Informed local;0,41
30/09/2021;PAS;MPS;Listen to concerns;0,64
30/09/2021;PAS;MPS;Relied on to be there;0,61
30/09/2021;PAS;MPS;Treat everyone fairly;0,66
30/09/2021;PAS;MPS;Understand issues;0,64
31/12/2021;PAS;MPS;"""Good Job"" local";0,51
31/12/2021;PAS;MPS;Contact ward officer;0,27
31/12/2021;PAS;MPS;Informed local;0,4
31/12/2021;PAS;MPS;Listen to concerns;0,62
31/12/2021;PAS;MPS;Relied on to be there;0,59
31/12/2021;PAS;MPS;Treat everyone fairly;0,64
31/12/2021;PAS;MPS;Understand issues;0,63
31/03/2022;PAS;MPS;"""Good Job"" local";0,49
31/03/2022;PAS;MPS;Contact ward officer;0,27
31/03/2022;PAS;MPS;Informed local;0,38
31/03/2022;PAS;MPS;Listen to concerns;0,6
31/03/2022;PAS;MPS;Relied on to be there;0,57
31/03/2022;PAS;MPS;Treat everyone fairly;0,62
31/03/2022;PAS;MPS;Understand issues;0,6
31/03/2016;PAS;MPS;Trust MPS;0,86
30/06/2016;PAS;MPS;Trust MPS;0,87
30/09/2016;PAS;MPS;Trust MPS;0,87
31/12/2016;PAS;MPS;Trust MPS;0,88
31/03/2017;PAS;MPS;Trust MPS;0,88
30/06/2017;PAS;MPS;Trust MPS;0,88
30/09/2017;PAS;MPS;Trust MPS;0,87
31/12/2017;PAS;MPS;Trust MPS;0,86
31/03/2018;PAS;MPS;Trust MPS;0,86
30/06/2018;PAS;MPS;Trust MPS;0,85
30/09/2018;PAS;MPS;Trust MPS;0,85
31/12/2018;PAS;MPS;Trust MPS;0,84
31/03/2019;PAS;MPS;Trust MPS;0,84
30/06/2019;PAS;MPS;Trust MPS;0,83
30/09/2019;PAS;MPS;Trust MPS;0,84
31/12/2019;PAS;MPS;Trust MPS;0,84
31/03/2020;PAS;MPS;Trust MPS;0,83
30/06/2020;PAS;MPS;Trust MPS;0,83
30/09/2020;PAS;MPS;Trust MPS;0,82
31/12/2020;PAS;MPS;Trust MPS;0,81
31/03/2021;PAS;MPS;Trust MPS;0,8
30/06/2021;PAS;MPS;Trust MPS;0,79
30/09/2021;PAS;MPS;Trust MPS;0,77
31/12/2021;PAS;MPS;Trust MPS;0,76
31/03/2022;PAS;MPS;Trust MPS;0,73
30/06/2022;PAS;MPS;"""Good Job"" local";0,49
30/06/2022;PAS;MPS;Contact ward officer;0,26
30/06/2022;PAS;MPS;Informed local;0,36
30/06/2022;PAS;MPS;Listen to concerns;0,6
30/06/2022;PAS;MPS;Relied on to be there;0,57
30/06/2022;PAS;MPS;Treat everyone fairly;0,61
30/06/2022;PAS;MPS;Understand issues;0,6
30/06/2022;PAS;MPS;Trust MPS;0,72
30/09/2022;PAS;MPS;"""Good Job"" local";0,5
30/09/2022;PAS;MPS;Contact ward officer;0,23
30/09/2022;PAS;MPS;Informed local;0,33
30/09/2022;PAS;MPS;Listen to concerns;0,61
30/09/2022;PAS;MPS;Relied on to be there;0,58
30/09/2022;PAS;MPS;Treat everyone fairly;0,62
30/09/2022;PAS;MPS;Understand issues;0,6
30/09/2022;PAS;MPS;Trust MPS;0,71
31/12/2022;PAS;MPS;"""Good Job"" local";0,49
31/12/2022;PAS;MPS;Contact ward officer;0,2
31/12/2022;PAS;MPS;Informed local;0,31
31/12/2022;PAS;MPS;Listen to concerns;0,59
31/12/2022;PAS;MPS;Relied on to be there;0,57
31/12/2022;PAS;MPS;Treat everyone fairly;0,62
31/12/2022;PAS;MPS;Understand issues;0,58
31/12/2022;PAS;MPS;Trust MPS;0,71
31/03/2023;PAS;MPS;"""Good Job"" local";0,5
31/03/2023;PAS;MPS;Contact ward officer;0,17
31/03/2023;PAS;MPS;Informed local;0,29
31/03/2023;PAS;MPS;Listen to concerns;0,59
31/03/2023;PAS;MPS;Relied on to be there;0,59
31/03/2023;PAS;MPS;Treat everyone fairly;0,65
31/03/2023;PAS;MPS;Trust MPS;0,71
31/03/2023;PAS;MPS;Understand issues;0,59
30/06/2023;PAS;MPS;"""Good Job"" local";0,48
30/06/2023;PAS;MPS;Contact ward officer;0,16
30/06/2023;PAS;MPS;Informed local;0,29
30/06/2023;PAS;MPS;Listen to concerns;0,58
30/06/2023;PAS;MPS;Relied on to be there;0,58
30/06/2023;PAS;MPS;Treat everyone fairly;0,64
30/06/2023;PAS;MPS;Trust MPS;0,7
30/06/2023;PAS;MPS;Understand issues;0,57
30/09/2023;PAS;MPS;"""Good Job"" local";0,48
30/09/2023;PAS;MPS;Contact ward officer;0,14
30/09/2023;PAS;MPS;Informed local;0,28
30/09/2023;PAS;MPS;Listen to concerns;0,57
30/09/2023;PAS;MPS;Relied on to be there;0,58
30/09/2023;PAS;MPS;Treat everyone fairly;0,63
30/09/2023;PAS;MPS;Trust MPS;0,7
30/09/2023;PAS;MPS;Understand issues;0,57
31/12/2023;PAS;MPS;"""Good Job"" local";0,47
31/12/2023;PAS;MPS;Contact ward officer;0,13
31/12/2023;PAS;MPS;Informed local;0,29
31/12/2023;PAS;MPS;Listen to concerns;0,57
31/12/2023;PAS;MPS;Relied on to be there;0,59
31/12/2023;PAS;MPS;Treat everyone fairly;0,62
31/12/2023;PAS;MPS;Trust MPS;0,69
31/12/2023;PAS;MPS;Understand issues;0,57
